GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Esri Geometry API for Java,com.esri.core.geometry,RasterizedGeometry2D.HitType,0,32,0,0,0,7,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,PointInPolygonHelper,406,528,66,98,104,123,42,54,4,10
Esri Geometry API for Java,com.esri.core.geometry,OperatorSimplifyLocalHelper.MultiPointVertexComparer2,0,12,0,0,0,4,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorConvexHull,2,8,0,0,1,2,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorShapePreservingDensifyLocal,10,3,0,0,2,1,2,1,2,1
Esri Geometry API for Java,com.esri.core.geometry,OperatorImportFromJsonLocal,7,14,0,0,1,3,1,3,1,3
Esri Geometry API for Java,com.esri.core.geometry,OperatorCutCursor,39,370,17,34,8,87,15,17,1,5
Esri Geometry API for Java,com.esri.core.geometry,GeometryException,5,4,0,0,1,2,1,1,1,1
Esri Geometry API for Java,com.esri.core.geometry,OperatorDifferenceLocal,50,638,12,72,13,159,10,47,0,12
Esri Geometry API for Java,com.esri.core.geometry,OperatorClipLocal,0,26,0,0,0,5,0,3,0,3
Esri Geometry API for Java,com.esri.core.geometry,VertexDescription,70,400,6,16,12,52,15,24,11,17
Esri Geometry API for Java,com.esri.core.geometry,SweepComparator,485,1072,111,129,90,241,71,78,5,24
Esri Geometry API for Java,com.esri.core.geometry,RelationalOperations.Accelerate_helper,12,73,9,17,2,18,8,8,1,2
Esri Geometry API for Java,com.esri.core.geometry,SegmentBuffer,30,26,6,2,11,9,5,4,2,3
Esri Geometry API for Java,com.esri.core.geometry,Bufferer.GeometryCursorForMultiPoint,3,136,1,9,2,35,2,6,1,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorOverlapsLocal,0,10,0,0,0,2,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorImportFromESRIShapeCursor,291,1738,121,268,96,506,109,104,1,6
Esri Geometry API for Java,com.esri.core.geometry,Bufferer.GeometryCursorForPolygon,31,61,6,6,8,16,6,4,1,3
Esri Geometry API for Java,com.esri.core.geometry,OperatorExportToWktLocal,323,1727,132,238,59,405,115,101,0,29
Esri Geometry API for Java,com.esri.core.geometry,OperatorOverlaps,2,8,0,0,1,3,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,IntervalTreeImpl.IntervalTreeBucketSortHelper,0,21,0,0,0,6,0,3,0,3
Esri Geometry API for Java,com.esri.core.geometry,SimpleJsonReaderCursor,55,0,4,0,16,0,6,0,4,0
Esri Geometry API for Java,com.esri.core.geometry,SpatialReferenceImpl,105,343,19,26,30,64,26,21,10,14
Esri Geometry API for Java,com.esri.core.geometry,OperatorImportFromWktLocal,114,1061,43,154,21,304,35,82,0,16
Esri Geometry API for Java,com.esri.core.geometry,QuadTree,119,104,5,1,22,23,13,15,10,15
Esri Geometry API for Java,com.esri.core.geometry,PairwiseIntersectorImpl,118,307,27,51,32,81,22,27,0,9
Esri Geometry API for Java,com.esri.core.geometry,OperatorSimplifyLocalHelper.MultiPointVertexComparer,0,12,0,0,0,4,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorFactory,0,3,0,0,0,1,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry,GeometrySerializer.MultiVertexData,9,0,0,0,3,0,1,0,1,0
